Station;Date;Irradiance
WSLLAF;202201060840;144
WSLLAF;202201060850;162
WSLLAF;202201060900;192
WSLLAF;202201060910;210
WSLLAF;202201060920;228
WSLLAF;202201060930;245
WSLLAF;202201060940;262
WSLLAF;202201060950;279
WSLLAF;202201061000;292
WSLLAF;202201061010;-
WSLLAF;202201061020;313
WSLLAF;202201061030;320
WSLLAF;202201061040;331
WSLLAF;202201061050;338
WSLLAF;202201061100;345
WSLLAF;202201061110;349
WSLLAF;202201061120;351
WSLLAF;202201061130;353
WSLLAF;202201061140;354
WSLLAF;202201061150;353
WSLLAF;202201061200;350
WSLLAF;202201061210;346
WSLLAF;202201061220;340
WSLLAF;202201061230;334
WSLLAF;202201061240;327
WSLLAF;202201061250;215
WSLLAF;202201061300;189
WSLLAF;202201061310;335
WSLLAF;202201061320;312
WSLLAF;202201061330;273
WSLLAF;202201061340;90
WSLLAF;202201061350;217
WSLLAF;202201061400;219
WSLLAF;202201061410;-
WSLLAF;202201061420;177
WSLLAF;202201061430;158
WSLLAF;202201061440;139
WSLLAF;202201061450;122
WSLLAF;202201061500;100
WSLLAF;202201061510;76
WSLLAF;202201061520;53
WSLLAF;202201061530;35
WSLLAF;202201061540;21
WSLLAF;202201061550;14
WSLLAF;202201061600;8
WSLLAF;202201061610;4
WSLLAF;202201061620;2
WSLLAF;202201061630;0
WSLLAF;202201061640;0
WSLLAF;202201061650;0
WSLLAF;202201061700;0
WSLLAF;202201061710;0
WSLLAF;202201061720;0
WSLLAF;202201061730;0
WSLLAF;202201061740;0
WSLLAF;202201061750;0
WSLLAF;202201061800;0
WSLLAF;202201061810;0
WSLLAF;202201061820;0
WSLLAF;202201061830;0
WSLLAF;202201061840;0
WSLLAF;202201061850;0
WSLLAF;202201061900;0
WSLLAF;202201061910;0
WSLLAF;202201061920;0
WSLLAF;202201061930;0
WSLLAF;202201061940;0
WSLLAF;202201061950;0
WSLLAF;202201062000;0
WSLLAF;202201062010;0
WSLLAF;202201062020;0
WSLLAF;202201062030;0
WSLLAF;202201062040;0
WSLLAF;202201062050;0
WSLLAF;202201062100;0
WSLLAF;202201062110;0
WSLLAF;202201062120;0
WSLLAF;202201062130;0
WSLLAF;202201062140;0
WSLLAF;202201062150;0
WSLLAF;202201062200;0
WSLLAF;202201062210;0
WSLLAF;202201062220;0
WSLLAF;202201062230;0
WSLLAF;202201062240;0
WSLLAF;202201062250;0
WSLLAF;202201062300;0
WSLLAF;202201062310;0
WSLLAF;202201062320;0
WSLLAF;202201062330;0
WSLLAF;202201062340;0
WSLLAF;202201062350;0
WSLLAF;202201070000;0
WSLLAF;202201070010;0
WSLLAF;202201070020;0
WSLLAF;202201070030;0
WSLLAF;202201070040;0
WSLLAF;202201070050;0
WSLLAF;202201070100;0
WSLLAF;202201070110;0
WSLLAF;202201070120;0
WSLLAF;202201070130;0
WSLLAF;202201070140;0
WSLLAF;202201070150;0
WSLLAF;202201070200;0
WSLLAF;202201070210;0
WSLLAF;202201070220;0
WSLLAF;202201070230;0
WSLLAF;202201070240;0
WSLLAF;202201070250;0
WSLLAF;202201070300;0
WSLLAF;202201070310;0
WSLLAF;202201070320;0
WSLLAF;202201070330;0
WSLLAF;202201070340;0
WSLLAF;202201070350;0
WSLLAF;202201070400;0
WSLLAF;202201070410;0
WSLLAF;202201070420;0
WSLLAF;202201070430;0
WSLLAF;202201070440;0
WSLLAF;202201070450;0
WSLLAF;202201070500;0
WSLLAF;202201070510;0
WSLLAF;202201070520;0
WSLLAF;202201070530;0
WSLLAF;202201070540;0
WSLLAF;202201070550;0
WSLLAF;202201070600;0
WSLLAF;202201070610;0
WSLLAF;202201070620;0
WSLLAF;202201070630;0
WSLLAF;202201070640;0
WSLLAF;202201070650;0
WSLLAF;202201070700;0
WSLLAF;202201070710;1
WSLLAF;202201070720;3
WSLLAF;202201070730;5
WSLLAF;202201070740;12
WSLLAF;202201070750;18
WSLLAF;202201070800;29
WSLLAF;202201070810;-
WSLLAF;202201070820;86
WSLLAF;202201070830;100
WSLLAF;202201070840;121
WSLLAF;202201070850;148
WSLLAF;202201070900;98
WSLLAF;202201070910;92
WSLLAF;202201070920;173
WSLLAF;202201070930;188
WSLLAF;202201070940;204
WSLLAF;202201070950;150
WSLLAF;202201071000;125
WSLLAF;202201071010;111
WSLLAF;202201071020;109
WSLLAF;202201071030;110
WSLLAF;202201071040;105
WSLLAF;202201071050;84
WSLLAF;202201071100;87
WSLLAF;202201071110;94
WSLLAF;202201071120;89
WSLLAF;202201071130;42
WSLLAF;202201071140;56
WSLLAF;202201071150;72
WSLLAF;202201071200;73
WSLLAF;202201071210;61
WSLLAF;202201071220;69
WSLLAF;202201071230;93
WSLLAF;202201071240;113
WSLLAF;202201071250;89
WSLLAF;202201071300;66
WSLLAF;202201071310;93
WSLLAF;202201071320;78
WSLLAF;202201071330;61
WSLLAF;202201071340;50
WSLLAF;202201071350;48
WSLLAF;202201071400;37
WSLLAF;202201071410;29
WSLLAF;202201071420;33
WSLLAF;202201071430;28
WSLLAF;202201071440;19
WSLLAF;202201071450;18
WSLLAF;202201071500;13
WSLLAF;202201071510;10
WSLLAF;202201071520;6
WSLLAF;202201071530;15
WSLLAF;202201071540;9
WSLLAF;202201071550;5
WSLLAF;202201071600;3
WSLLAF;202201071610;2
WSLLAF;202201071620;0
WSLLAF;202201071630;0
WSLLAF;202201071640;0
WSLLAF;202201071650;0
WSLLAF;202201071700;0
WSLLAF;202201071710;0
WSLLAF;202201071720;0
WSLLAF;202201071730;0
WSLLAF;202201071740;0
WSLLAF;202201071750;0
WSLLAF;202201071800;0
WSLLAF;202201071810;0
WSLLAF;202201071820;0
WSLLAF;202201071830;0
WSLLAF;202201071840;0
WSLLAF;202201071850;0
WSLLAF;202201071900;0
WSLLAF;202201071910;0
WSLLAF;202201071920;0
WSLLAF;202201071930;0
WSLLAF;202201071940;0
WSLLAF;202201071950;0
WSLLAF;202201072000;0
WSLLAF;202201072010;0
WSLLAF;202201072020;0
WSLLAF;202201072030;0
WSLLAF;202201072040;0
WSLLAF;202201072050;0
WSLLAF;202201072100;0
WSLLAF;202201072110;0
WSLLAF;202201072120;0
WSLLAF;202201072130;0
WSLLAF;202201072140;0
